player_id,player_name,position,gameweek,was_home,opponent_team,fixture_difficulty,form_3gw,form_5gw,avg_minutes_3gw,goals_per_90_season,assists_per_90_season,ict_index_3gw,clean_sheets_pct_season,bonus_avg_3gw,team_goals_scored_3gw,team_goals_conceded_3gw,opponent_goals_conceded_season,price,target_points
366,A.Becker,GK,4,0,3,2,3.333,3.333,90.0,0.0,0.0,1.5,0.333,0.667,8.0,4.0,2.0,5.4,6
713,A.Jimenez,DEF,4,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.333,4.5,0
350,Aaronson,MID,4,0,10,3,1.0,1.0,25.667,0.0,0.0,1.667,0.0,0.0,1.0,5.0,1.333,5.4,5
326,Adama,MID,4,1,11,3,0.667,0.667,10.0,0.0,0.0,0.833,0.0,0.0,4.0,8.0,1.667,5.1,1
85,Adams,MID,4,1,6,3,3.333,3.333,89.0,0.0,0.0,3.0,0.667,0.0,4.0,4.0,1.333,4.9,1
543,Adingra,MID,4,0,8,3,2.667,2.667,54.0,0.0,0.556,2.1,0.333,0.0,5.0,3.0,0.333,4.9,3
697,Adli,MID,4,1,6,3,1.0,1.0,25.0,0.0,0.0,2.5,0.0,0.0,4.0,4.0,1.333,5.4,1
631,Agbadou,DEF,4,0,15,3,1.667,1.667,90.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,1.0,4.2,4
108,Ajer,DEF,4,1,7,3,0.333,0.333,1.667,0.0,0.0,0.067,0.0,0.0,3.0,5.0,0.333,4.4,4
405,Aké,DEF,4,1,14,3,0.333,0.333,22.333,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.333,5.2,1
683,Alderete,DEF,4,0,8,3,3.0,3.0,72.333,0.0,0.415,3.767,0.0,0.0,5.0,3.0,0.333,4.1,9
452,Amad,MID,4,0,13,5,2.333,2.333,58.667,0.0,0.511,5.267,0.0,0.0,4.0,4.0,1.333,6.2,2
354,Ampadu,MID,4,0,10,3,1.0,1.0,25.667,0.0,0.0,0.6,1.0,0.0,1.0,5.0,1.333,4.9,4
317,Andersen,DEF,4,1,11,2,3.0,3.0,90.0,0.0,0.0,3.433,0.0,0.0,2.0,4.0,1.667,4.5,10
517,Anderson,MID,4,0,1,5,3.333,3.333,90.0,0.0,0.333,6.7,0.0,0.333,4.0,5.0,0.333,5.6,4
643,André,MID,4,0,15,3,2.333,2.333,59.667,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,5.2,1
200,Anthony,MID,4,1,12,3,7.0,7.0,88.0,0.682,0.341,8.1,0.333,0.667,4.0,6.0,1.333,5.0,3
166,Ayari,MID,4,0,4,4,2.0,2.0,61.667,0.0,0.0,2.567,0.0,0.333,3.0,4.0,1.333,4.8,2
449,B.Fernandes,MID,4,0,13,5,4.667,4.667,90.0,0.333,0.0,10.7,0.0,0.667,4.0,4.0,1.333,10.4,2
734,Bakwa,MID,4,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.333,5.9,1
167,Baleba,MID,4,0,4,4,1.667,1.667,57.333,0.0,0.0,1.0,0.333,0.0,3.0,4.0,1.333,4.5,0
487,Barnes,MID,4,1,20,1,2.0,2.0,62.0,0.0,0.0,4.167,0.333,0.0,2.0,3.0,2.667,6.1,3
310,Barry,FWD,4,1,2,3,1.333,1.333,27.0,0.0,0.0,0.833,0.333,0.0,5.0,3.0,1.333,5.7,1
318,Bassey,DEF,4,1,11,2,1.333,1.333,90.0,0.0,0.0,1.3,0.0,0.0,2.0,4.0,1.667,4.4,9
431,Bayindir,GK,4,0,13,5,1.667,1.667,90.0,0.0,0.0,1.7,0.0,0.0,4.0,4.0,1.333,4.7,2
644,Bellegarde,MID,4,0,15,3,1.333,1.333,47.667,0.0,0.0,2.2,0.0,0.0,2.0,8.0,1.0,5.1,1
330,Berge,MID,4,1,11,2,2.0,2.0,81.667,0.0,0.0,1.367,0.0,0.0,2.0,4.0,1.667,4.9,4
586,Bergvall,MID,4,0,19,3,1.667,1.667,39.667,0.0,0.0,3.133,0.333,0.0,5.0,1.0,2.667,5.2,11
416,Bernardo,MID,4,1,14,3,2.0,2.0,57.333,0.0,0.0,3.6,0.333,0.0,5.0,4.0,1.333,6.2,6
311,Beto,FWD,4,1,2,3,3.0,3.0,63.667,0.471,0.0,3.667,0.0,0.333,5.0,3.0,1.333,5.0,2
424,Bobb,MID,4,1,14,2,3.333,3.333,84.667,0.0,0.354,4.8,0.333,0.0,2.0,4.0,1.333,5.1,1
44,Bogarde,DEF,4,0,9,3,0.333,0.333,7.333,0.0,0.0,0.167,0.0,0.0,0.0,4.0,1.0,4.0,9
342,Bogle,DEF,4,0,10,3,3.667,3.667,87.333,0.0,0.0,1.9,0.667,0.0,1.0,5.0,1.333,4.4,2
475,Botman,DEF,4,1,20,1,2.667,2.667,22.333,0.0,0.0,0.667,1.0,0.667,2.0,3.0,2.667,4.9,1
624,Bowen,FWD,4,1,18,3,4.333,4.333,90.0,0.333,0.0,6.767,0.333,1.0,4.0,8.0,0.333,7.8,2
375,Bradley,DEF,4,0,3,2,0.0,0.0,3.333,0.0,0.0,0.233,0.0,0.0,8.0,4.0,2.0,4.9,0
730,Brobbey,FWD,4,0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.333,5.3,1
680,Broja,FWD,4,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.333,5.2,1
86,Brooks,MID,4,1,6,3,3.667,3.667,70.667,0.0,0.425,7.133,0.667,0.333,4.0,4.0,1.333,5.0,1
488,Bruno G.,MID,4,1,20,1,4.0,4.0,90.0,0.333,0.0,3.7,0.667,0.0,2.0,3.0,2.667,6.8,2
50,Buendía,MID,4,0,9,3,0.667,0.667,34.333,0.0,0.0,2.667,0.0,0.0,0.0,4.0,1.0,5.3,2
168,Buonanotte,MID,4,0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.667,4.6,1
476,Burn,DEF,4,1,20,1,5.667,5.667,90.0,0.0,0.0,2.567,0.667,0.333,2.0,3.0,2.667,5.0,6
241,Caicedo,MID,4,0,5,3,5.667,5.667,90.0,0.333,0.0,4.767,0.667,0.333,7.0,1.0,1.667,5.7,12
331,Cairney,MID,4,1,11,2,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.667,4.8,1
7,Calafiori,DEF,4,1,16,3,9.333,9.333,74.667,0.402,0.804,5.9,0.667,1.0,6.0,1.0,1.667,5.6,5
691,Calvert-Lewin,FWD,4,0,10,3,0.5,0.5,10.0,0.0,0.0,1.1,0.0,0.0,1.0,5.0,1.333,5.7,2
123,Carvalho,MID,4,1,7,3,1.0,1.0,30.333,0.0,0.0,0.433,0.0,0.0,3.0,5.0,0.333,4.6,7
457,Casemiro,MID,4,0,13,5,2.333,2.333,62.333,0.0,0.481,1.633,0.0,0.0,4.0,4.0,1.333,5.8,1
36,Cash,DEF,4,0,9,3,3.333,3.333,84.333,0.0,0.0,4.033,0.333,0.0,0.0,4.0,1.0,4.7,5
226,Chalobah,DEF,4,0,5,3,9.0,9.0,82.667,0.363,0.363,5.367,0.667,0.667,7.0,1.0,1.667,5.4,3
385,Chiesa,MID,4,0,3,2,2.667,2.667,9.667,3.103,0.0,1.9,0.0,0.0,8.0,4.0,2.0,6.3,1
106,Collins,DEF,4,1,7,3,4.0,4.0,90.0,0.0,0.0,2.333,0.333,0.333,3.0,5.0,0.333,4.9,3
88,Cook,MID,4,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.333,4.9,1
224,Cucurella,DEF,4,0,5,3,6.333,6.333,82.667,0.0,0.363,4.667,0.667,0.667,7.0,1.0,1.667,6.1,1
205,Cullen,MID,4,1,12,3,6.667,6.667,90.0,0.333,0.333,6.867,0.333,1.0,4.0,6.0,1.333,4.9,3
570,Danso,DEF,4,0,19,3,0.333,0.333,0.333,0.0,0.0,0.133,0.0,0.0,5.0,1.0,2.667,4.2,1
341,Darlow,GK,4,0,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.333,3.9,3
145,De Cuyper,DEF,4,0,4,4,1.333,1.333,82.0,0.0,0.0,2.433,0.0,0.0,3.0,4.0,1.333,4.3,1
436,De Ligt,DEF,4,0,13,5,4.0,4.0,90.0,0.0,0.0,3.967,0.0,1.0,4.0,4.0,1.333,4.9,1
276,Devenny,MID,4,1,17,2,1.333,1.333,25.333,0.0,0.0,1.333,0.0,0.0,4.0,1.0,1.0,4.3,1
242,Dewsbury-Hall,MID,4,1,2,3,5.333,5.333,90.0,0.333,0.333,7.4,0.333,1.0,5.0,3.0,1.333,5.1,2
544,Diarra,MID,4,0,8,3,3.0,3.0,85.0,0.0,0.353,2.3,0.333,0.0,5.0,3.0,0.333,5.3,3
37,Digne,DEF,4,0,9,3,3.0,3.0,53.333,0.0,0.0,1.3,0.333,0.0,0.0,4.0,1.0,4.5,5
603,Diouf,DEF,4,1,18,3,4.667,4.667,90.0,0.0,0.667,4.867,0.333,0.333,4.0,8.0,0.333,4.1,1
418,Doku,MID,4,1,14,3,1.667,1.667,39.667,0.0,0.0,1.833,0.333,0.0,5.0,4.0,1.333,6.4,10
736,Donnarumma,GK,4,1,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.333,5.6,6
441,Dorgu,DEF,4,0,13,5,1.0,1.0,60.0,0.0,0.0,1.167,0.0,0.0,4.0,4.0,1.333,4.1,1
146,Dunk,DEF,4,0,4,4,2.667,2.667,90.0,0.0,0.333,1.933,0.0,0.0,3.0,4.0,1.333,4.5,2
470,Dúbravka,GK,4,1,12,3,3.333,3.333,90.0,0.0,0.0,2.4,0.333,0.0,4.0,6.0,1.333,4.0,3
190,Ekdal,DEF,4,1,12,3,4.333,4.333,87.333,0.0,0.0,3.167,0.333,0.333,4.0,6.0,1.333,3.8,4
661,Ekitiké,FWD,4,0,3,2,7.333,7.333,76.0,0.789,0.395,6.733,0.333,1.667,8.0,4.0,2.0,9.1,2
486,Elanga,MID,4,1,20,1,2.0,2.0,65.0,0.0,0.0,3.367,0.333,0.0,2.0,3.0,2.667,6.5,1
389,Elliott,MID,4,0,9,3,0.333,0.333,0.333,0.0,0.0,0.033,0.0,0.0,0.0,4.0,1.0,5.1,1
237,Enzo,MID,4,0,5,3,8.333,8.333,86.0,0.698,0.698,7.6,0.667,0.333,7.0,1.0,1.667,6.5,4
191,Estève,DEF,4,1,12,3,2.667,2.667,87.333,0.0,0.0,2.6,0.333,0.0,4.0,6.0,1.333,3.9,4
97,Evanilson,FWD,4,1,6,3,3.667,3.667,85.667,0.35,0.0,6.567,0.667,0.667,4.0,4.0,1.333,6.7,5
266,Eze,MID,4,1,16,3,1.333,1.333,34.333,0.0,0.0,1.433,0.5,0.0,6.0,1.0,1.667,7.2,6
148,F.Kadıoğlu,DEF,4,0,4,4,0.0,0.0,14.667,0.0,0.0,0.1,0.0,0.0,3.0,4.0,1.333,4.4,4
645,Fer López,MID,4,0,15,3,0.667,0.667,14.667,0.0,0.0,1.133,0.0,0.0,2.0,8.0,1.0,5.1,1
722,Florentino,MID,4,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.333,5.0,1
414,Foden,MID,4,1,14,3,0.333,0.333,5.0,0.0,0.0,1.067,0.0,0.0,5.0,4.0,1.333,8.0,12
230,Fofana,DEF,4,0,5,3,0.333,0.333,7.0,0.0,0.0,0.133,0.0,0.0,7.0,1.0,1.667,4.4,1
217,Foster,FWD,4,1,12,3,3.333,3.333,82.667,0.363,0.0,3.833,0.333,0.333,4.0,6.0,1.333,4.9,2
370,Frimpong,DEF,4,0,3,2,0.333,0.333,19.667,0.0,0.0,0.3,0.0,0.0,8.0,4.0,2.0,5.7,4
5,Gabriel,DEF,4,1,16,3,4.667,4.667,90.0,0.0,0.0,2.3,0.667,0.0,6.0,1.0,1.667,7.2,9
384,Gakpo,MID,4,0,3,2,6.667,6.667,90.0,0.333,0.667,8.367,0.333,0.667,8.0,4.0,2.0,7.3,3
302,Gana,MID,4,1,2,3,2.333,2.333,85.0,0.0,0.0,2.7,0.333,0.0,5.0,3.0,1.333,5.4,3
453,Garnacho,MID,4,0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.667,6.4,1
303,Garner,MID,4,1,2,3,5.333,5.333,90.0,0.333,0.0,4.267,0.333,0.333,5.0,3.0,1.333,5.3,5
724,Geertruida,DEF,4,0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.333,4.5,1
243,George,MID,4,0,5,3,1.0,1.0,22.0,0.0,0.0,1.267,1.0,0.0,5.0,3.0,1.667,4.8,0
158,Georginio,MID,4,0,4,4,2.333,2.333,32.333,0.0,0.928,1.8,0.5,0.0,3.0,4.0,1.333,5.6,1
515,Gibbs-White,MID,4,0,1,5,3.0,3.0,84.667,0.0,0.354,5.6,0.0,0.0,4.0,5.0,0.333,7.6,2
239,Gittens,MID,4,0,5,3,1.0,1.0,29.333,0.0,0.0,1.833,0.0,0.0,7.0,1.0,1.667,6.0,1
351,Gnonto,MID,4,0,10,3,1.667,1.667,63.333,0.0,0.0,1.7,0.333,0.0,1.0,5.0,1.333,5.1,1
